Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
21546,Brandon Rush,GSW,2012,SF,634,235,99,136,65,251,88,68,35,58
21547,Walker Russell,DET,2012,PG,84,33,4,29,14,26,58,33,18,1
21548,John Salmons,SAC,2012,SF,344,141,33,108,29,134,93,45,37,7
21549,Samardo Samuels,CLE,2012,C,292,105,0,105,82,180,20,56,20,20
21550,Larry Sanders,MIL,2012,PF,186,84,0,84,18,160,33,43,32,76
21551,Brian Scalabrine,CHI,2012,PF,32,14,1,13,3,21,15,9,5,6
21552,Luis Scola,HOU,2012,PF,1025,436,0,436,153,428,140,153,35,24
21553,Thabo Sefolosha,OKC,2012,SG,203,67,31,36,38,128,47,40,37,17
21554,Josh Selby,MEM,2012,PG,63,25,2,23,11,15,30,29,7,0
21555,Kevin Seraphin,WAS,2012,C,453,203,0,203,47,280,33,66,19,76
21556,Ramon Sessions,TOT,2012,PG,721,242,43,199,194,214,354,141,44,3
21557,Ramon Sessions,CLE,2012,PG,430,141,26,115,122,127,212,82,27,1
21558,Ramon Sessions,LAL,2012,PG,291,101,17,84,72,87,142,59,17,2
21559,Iman Shumpert,NYK,2012,PG,563,214,48,166,87,186,164,111,101,8
21560,Xavier Silas,PHI,2012,SG,11,4,1,3,2,4,3,3,0,0
21561,Bobby Simmons,LAC,2012,SF,80,28,20,8,4,55,11,10,15,3
21562,Chris Singleton,WAS,2012,SF,306,116,44,72,30,233,49,38,70,30
21563,James Singleton,WAS,2012,PF,98,41,2,39,14,81,15,10,9,8
21564,Brian Skinner,MEM,2012,C,0,0,0,0,0,0,0,0,0,0
21565,Donald Sloan,TOT,2012,PG,183,79,2,77,23,67,105,49,13,3
21566,Donald Sloan,ATL,2012,PG,6,3,0,3,0,5,5,2,1,0
21567,Donald Sloan,NOH,2012,PG,12,5,0,5,2,3,8,5,2,0
21568,Donald Sloan,CLE,2012,PG,165,71,2,69,21,59,92,42,10,3
21569,Craig Smith,POR,2012,PF,156,59,0,59,38,110,19,24,16,5
21570,Greg Smith,HOU,2012,C,14,7,0,7,0,20,1,1,2,5
21571,Ish Smith,TOT,2012,PG,72,31,3,28,7,35,41,13,15,2
21572,Ish Smith,GSW,2012,PG,27,12,2,10,1,9,9,1,4,0
21573,Ish Smith,ORL,2012,PG,45,19,1,18,6,26,32,12,11,2
21574,J.R. Smith,NYK,2012,SG,436,165,67,98,39,136,84,46,54,6
21575,Jason Smith,NOH,2012,PF,396,181,1,180,33,196,34,40,21,41
21576,Jerry Smith,NJN,2012,PG,7,3,1,2,0,7,4,0,5,0
21577,Josh Smith,ATL,2012,PF,1239,504,28,476,203,632,257,164,93,115
21578,Nolan Smith,POR,2012,PG,167,67,13,54,20,56,62,42,18,3
21579,Marreese Speights,MEM,2012,PF,526,221,0,221,84,374,48,74,21,29
21580,Tiago Splitter,SAS,2012,C,549,212,0,212,125,306,65,87,21,47
21581,Jerry Stackhouse,ATL,2012,SF,108,37,13,24,21,23,14,13,10,3
21582,Lance Stephenson,IND,2012,SG,106,47,4,43,8,53,46,36,21,5
21583,DeShawn Stevenson,NJN,2012,SF,148,49,41,8,9,101,41,19,19,4
21584,Greg Stiemsma,BOS,2012,C,161,66,0,66,29,177,28,33,37,85
21585,Julyan Stone,DEN,2012,SG,36,13,2,11,8,25,37,11,8,6
21586,Amar'e Stoudemire,NYK,2012,PF,823,316,5,311,186,367,52,112,38,45
21587,Rodney Stuckey,DET,2012,SG,812,256,33,223,267,142,210,106,44,10
21588,DaJuan Summers,NOH,2012,SF,68,28,5,23,7,23,10,8,7,0
21589,Jeff Teague,ATL,2012,PG,831,320,51,269,140,159,321,134,106,37
21590,Sebastian Telfair,PHO,2012,PG,368,141,33,108,53,91,138,68,41,12
21591,Jason Terry,DAL,2012,SG,950,357,138,219,98,149,226,127,73,11
21592,Hasheem Thabeet,TOT,2012,C,35,11,0,11,13,42,0,8,1,10
21593,Hasheem Thabeet,HOU,2012,C,6,3,0,3,0,7,0,0,0,2
21594,Hasheem Thabeet,POR,2012,C,29,8,0,8,13,35,0,8,1,8
21595,Isaiah Thomas,SAC,2012,PG,749,256,83,173,154,168,266,105,53,8
21596,Kurt Thomas,POR,2012,C,160,73,0,73,14,188,46,31,24,31
21597,Lance Thomas,NOH,2012,PF,166,57,0,57,52,126,12,24,10,7
21598,Malcolm Thomas,SAS,2012,PF,1,0,0,0,1,3,1,0,1,1
21599,Tyrus Thomas,CHA,2012,PF,304,120,1,119,63,200,35,53,36,60
21600,Trey Thompkins,LAC,2012,C,57,24,4,20,5,24,3,6,3,3
21601,Jason Thompson,SAC,2012,PF,583,237,0,237,109,443,79,68,43,44
21602,Klay Thompson,GSW,2012,SG,826,318,111,207,79,161,133,103,49,20
21603,Mychel Thompson,CLE,2012,SG,18,7,4,3,0,5,7,5,2,1
21604,Tristan Thompson,CLE,2012,PF,494,194,0,194,106,389,27,81,27,62
21605,Marcus Thornton,SAC,2012,SG,952,352,107,245,141,188,98,84,71,12
21606,Jamaal Tinsley,UTA,2012,PG,137,57,10,47,13,45,123,52,17,8
21607,Anthony Tolliver,MIN,2012,SF,208,71,25,46,41,153,22,35,18,19
21608,Ronny Turiaf,TOT,2012,C,51,19,0,19,13,70,10,14,14,17
21609,Ronny Turiaf,WAS,2012,C,6,3,0,3,0,12,5,6,6,3
21610,Ronny Turiaf,MIA,2012,C,45,16,0,16,13,58,5,8,8,14
21611,Hedo Turkoglu,ORL,2012,SF,576,209,91,118,67,199,233,142,45,17
21612,Evan Turner,PHI,2012,SF,610,263,11,252,73,376,180,105,40,20
21613,Jeremy Tyler,GSW,2012,C,205,88,0,88,29,140,16,36,16,20
21614,Edwin Ubiles,WAS,2012,SF,14,5,1,4,3,10,1,1,1,1
21615,Ekpe Udoh,TOT,2012,C,340,127,0,127,86,254,57,53,40,102
21616,Ekpe Udoh,GSW,2012,C,210,82,0,82,46,147,31,35,25,65
21617,Ekpe Udoh,MIL,2012,C,130,45,0,45,40,107,26,18,15,37
21618,Beno Udrih,MIL,2012,SG,348,146,17,129,39,102,227,77,37,1
21619,Ben Uzoh,TOT,2012,PG,81,35,0,35,11,67,61,19,17,3
21620,Ben Uzoh,CLE,2012,PG,4,2,0,2,0,4,2,0,1,0
21621,Ben Uzoh,TOR,2012,PG,77,33,0,33,11,63,59,19,16,3
21622,Anderson Varejao,CLE,2012,C,271,114,0,114,43,287,43,45,35,17
21623,Greivis Vasquez,NOH,2012,SG,589,225,43,182,96,173,359,148,60,8
21624,Jan Vesely,WAS,2012,PF,267,117,0,117,33,249,47,60,39,32
21625,Charlie Villanueva,DET,2012,PF,91,35,15,20,6,48,6,7,7,5
21626,Nikola Vucevic,PHI,2012,C,283,131,3,128,18,246,31,33,20,34
21627,Dwyane Wade,MIA,2012,SG,1082,416,15,401,235,237,225,129,82,63
21628,Von Wafer,ORL,2012,SG,194,71,14,57,38,45,29,35,10,3
21629,Henry Walker,NYK,2012,SG,189,68,36,32,17,80,37,35,19,7
21630,Kemba Walker,CHA,2012,PG,799,281,69,212,168,234,289,119,60,20
21631,John Wall,WAS,2012,PG,1076,378,3,375,317,300,530,255,95,57
21632,Ben Wallace,DET,2012,C,85,34,1,33,16,269,43,34,47,51
21633,Gerald Wallace,TOT,2012,SF,800,287,46,241,180,386,164,111,85,36
21634,Gerald Wallace,POR,2012,SF,557,203,26,177,125,277,115,84,62,25
21635,Gerald Wallace,NJN,2012,SF,243,84,20,64,55,109,49,27,23,11
21636,Luke Walton,TOT,2012,PF-SF,55,24,7,17,0,49,35,27,5,1
21637,Luke Walton,LAL,2012,SF,12,6,0,6,0,14,5,2,2,0
21638,Luke Walton,CLE,2012,PF,43,18,7,11,0,35,30,25,3,1
21639,Hakim Warrick,PHO,2012,PF,225,74,1,73,76,92,30,36,8,3
21640,Darryl Watkins,NOH,2012,C,23,7,0,7,9,27,3,8,5,4
21641,C.J. Watson,CHI,2012,PG,474,161,68,93,84,105,200,97,45,8
21642,Earl Watson,UTA,2012,PG,149,54,10,44,31,121,217,85,54,22
21643,Martell Webster,MIN,2012,SF,324,115,37,78,57,168,40,46,31,17
21644,David West,IND,2012,PF,842,349,2,347,142,433,140,93,52,46
21645,Delonte West,DAL,2012,PG,421,166,27,139,62,101,139,76,58,11
21646,Russell Westbrook,OKC,2012,PG,1558,578,62,516,340,301,362,239,112,21
21647,D.J. White,CHA,2012,PF,392,174,1,173,43,209,47,43,17,23
21648,Hassan Whiteside,SAC,2012,C,29,12,0,12,5,39,0,5,3,15
21649,Chris Wilcox,BOS,2012,C,152,64,0,64,24,122,12,30,11,9
21650,Damien Wilkins,DET,2012,SF,193,76,7,69,34,100,44,30,29,13
21651,Deron Williams,NJN,2012,PG,1154,391,115,276,257,183,481,219,67,20
21652,Derrick Williams,MIN,2012,PF,583,205,37,168,136,311,38,77,30,31
21653,Elliot Williams,POR,2012,SG,88,37,8,29,6,19,6,5,6,3
21654,Jordan Williams,NJN,2012,C,197,77,0,77,43,156,11,23,21,15
21655,Lou Williams,PHI,2012,PG,956,318,83,235,237,155,221,71,53,18
21656,Marvin Williams,ATL,2012,SF,579,203,58,145,115,294,71,39,47,18
21657,Mo Williams,LAC,2012,SG,685,260,93,167,72,99,160,86,51,7
21658,Reggie Williams,CHA,2012,SF,274,106,33,73,29,93,60,33,20,3
21659,Sean Williams,TOT,2012,C,40,14,0,14,12,25,5,10,4,8
21660,Sean Williams,DAL,2012,C,29,12,0,12,5,13,2,7,1,5
21661,Sean Williams,BOS,2012,C,11,2,0,2,7,12,3,3,3,3
21662,Shawne Williams,NJN,2012,SF,113,42,21,21,8,68,16,13,10,11
21663,Shelden Williams,NJN,2012,C,268,96,0,96,76,350,35,66,47,39
21664,Terrence Williams,TOT,2012,SG,213,85,16,69,27,102,65,43,20,7
21665,Terrence Williams,HOU,2012,SG,54,20,8,12,6,28,10,10,4,1
21666,Terrence Williams,SAC,2012,SG,159,65,8,57,21,74,55,33,16,6
21667,Metta World,LAL,2012,SF,493,183,56,127,71,218,140,69,69,27
21668,Brandan Wright,DAL,2012,C,340,144,0,144,52,174,13,21,22,63
21669,Chris Wright,GSW,2012,SF,70,23,0,23,24,45,4,8,7,13
21670,Dorell Wright,GSW,2012,SF,629,222,105,117,80,278,94,51,58,26
21671,Nick Young,TOT,2012,SG,879,316,103,213,144,133,56,83,44,17
21672,Nick Young,WAS,2012,SG,665,240,73,167,112,97,46,59,30,11
21673,Nick Young,LAC,2012,SG,214,76,30,46,32,36,10,24,14,6
21674,Sam Young,TOT,2012,SF,114,45,5,40,19,62,15,16,17,6
21675,Sam Young,MEM,2012,SF,74,32,0,32,10,41,9,9,11,2
21676,Sam Young,PHI,2012,SF,40,13,5,8,9,21,6,7,6,4
21677,Thaddeus Young,PHI,2012,PF,808,348,1,347,111,325,74,55,64,41
21678,,,,,,,,,,,,,,
21679,Quincy Acy,TOR,2013,PF,116,42,1,41,31,77,11,17,13,15
21680,Jeff Adrien,CHA,2013,PF,209,72,0,72,65,196,36,32,18,27
21681,Arron Afflalo,ORL,2013,SF,1057,397,72,325,191,239,206,138,40,11
21682,Josh Akognon,DAL,2013,PG,5,2,1,1,0,1,1,0,0,0
21683,Cole Aldrich,TOT,2013,C,100,44,0,44,12,120,9,23,5,23
21684,Cole Aldrich,HOU,2013,C,50,23,0,23,4,57,6,14,3,9
21685,Cole Aldrich,SAC,2013,C,50,21,0,21,8,63,3,9,2,14
21686,LaMarcus Aldridge,POR,2013,PF,1560,638,2,636,282,670,192,143,62,91
21687,Lavoy Allen,PHI,2013,C,455,206,0,206,43,395,73,55,24,55
21688,Ray Allen,MIA,2013,SG,863,292,139,153,140,217,135,103,67,15
21689,Tony Allen,MEM,2013,SG,705,284,3,281,134,363,98,94,119,44
21690,Al-Farouq Aminu,NOH,2013,SF,555,225,4,221,101,585,103,116,92,51
21691,Lou Amundson,TOT,2013,PF,76,32,0,32,12,106,11,19,16,12
21692,Lou Amundson,MIN,2013,PF,32,14,0,14,4,47,3,11,7,6
21693,Lou Amundson,CHI,2013,PF,0,0,0,0,0,1,0,0,0,0
21694,Lou Amundson,NOH,2013,PF,44,18,0,18,8,58,8,8,9,6
21695,Chris Andersen,MIA,2013,C,207,71,2,69,63,172,17,24,16,44
21696,Alan Anderson,TOR,2013,SF,693,236,95,141,126,148,103,80,48,7
21697,James Anderson,TOT,2013,SG-SF,149,52,21,31,24,72,42,25,15,5
21698,James Anderson,SAS,2013,SF,34,11,5,6,7,14,9,7,3,2
21699,James Anderson,HOU,2013,SG,115,41,16,25,17,58,33,18,12,3
21700,Ryan Anderson,NOH,2013,PF,1309,472,213,259,152,519,97,97,42,31
21701,Carmelo Anthony,NYK,2013,PF,1920,669,157,512,425,460,171,175,52,32
21702,Joel Anthony,MIA,2013,C,87,35,0,35,17,115,13,22,13,42
21703,Trevor Ariza,WAS,2013,SF,530,188,76,112,78,266,113,84,72,20
21704,Darrell Arthur,MEM,2013,PF,362,162,5,157,33,169,33,43,24,33
21705,Omer Asik,HOU,2013,C,832,332,0,332,168,956,75,173,46,87
21706,D.J. Augustin,IND,2013,PG,356,103,67,36,83,91,170,68,34,3
21707,Gustavo Ayon,TOT,2013,C,204,92,0,92,20,199,71,47,22,17
21708,Gustavo Ayon,ORL,2013,C,153,67,0,67,19,140,59,38,13,13
21709,Gustavo Ayon,MIL,2013,C,51,25,0,25,1,59,12,9,9,4
21710,Jeff Ayres,IND,2013,PF,145,61,2,59,21,104,15,23,6,12
21711,Luke Babbitt,POR,2013,PF,244,86,62,24,10,137,29,22,14,5
21712,Leandro Barbosa,BOS,2013,PG,215,83,18,65,31,46,58,21,17,6
21713,J.J. Barea,MIN,2013,PG,834,316,97,219,105,207,294,145,32,0
21714,Andrea Bargnani,TOR,2013,PF,443,170,38,132,65,128,38,54,21,23
21715,Harrison Barnes,GSW,2013,SF,748,276,52,224,144,333,98,101,52,14
21716,Matt Barnes,LAC,2013,SF,822,312,111,201,87,366,123,90,82,63
21717,Earl Barron,TOT,2013,C,39,18,0,18,3,61,5,11,5,6
21718,Earl Barron,WAS,2013,C,28,13,0,13,2,43,3,10,5,5
21719,Earl Barron,NYK,2013,C,11,5,0,5,1,18,2,1,0,1
21720,Will Barton,POR,2013,SG,295,118,9,109,50,145,58,60,34,9
21721,Brandon Bass,BOS,2013,PF,701,286,0,286,129,425,84,80,44,64
21722,Shane Battier,MIA,2013,SF,472,152,136,16,32,165,72,34,41,55
21723,Nicolas Batum,POR,2013,SF,1047,352,165,187,178,412,360,190,91,83
21724,Jerryd Bayless,MEM,2013,PG,693,260,71,189,102,176,264,120,59,17
21725,Aron Baynes,SAS,2013,C,43,18,0,18,7,32,5,11,1,6
21726,Kent Bazemore,GSW,2013,SG,123,43,10,33,27,22,22,18,17,4
21727,Bradley Beal,WAS,2013,SG,780,282,91,191,125,211,137,90,50,29
21728,Michael Beasley,PHO,2013,SF,759,310,45,265,94,282,111,144,31,34
21729,Rodrigue Beaubois,DAL,2013,PG,181,65,21,44,30,57,84,33,19,4
21730,Marco Belinelli,CHI,2013,SG,702,241,79,162,141,140,148,82,44,6
21731,Patrick Beverley,HOU,2013,PG,228,79,36,43,34,109,117,44,37,21
21732,Andris Biedrins,GSW,2013,C,24,10,0,10,4,153,14,14,15,42
21733,Chauncey Billups,LAC,2013,SG,184,53,33,20,45,32,49,26,12,1
21734,Bismack Biyombo,CHA,2013,C,386,156,0,156,74,582,35,82,28,143
21735,DeJuan Blair,SAS,2013,PF,328,142,0,142,44,230,45,49,37,10
21736,Steve Blake,LAL,2013,PG,327,114,72,42,27,132,173,62,34,6
21737,Andray Blatche,BRK,2013,C,843,346,3,343,148,417,85,123,86,54
21738,Eric Bledsoe,LAC,2013,PG,643,253,31,222,106,225,233,137,109,55
21739,Keith Bogans,BRK,2013,SG,311,108,84,24,11,120,76,49,28,4
21740,Andrew Bogut,GSW,2013,C,186,83,1,82,19,245,67,35,20,55
21741,Matt Bonner,SAS,2013,PF,288,112,53,59,11,129,36,16,17,19
21742,Trevor Booker,WAS,2013,PF,256,108,0,108,40,239,40,31,32,16
21743,Carlos Boozer,CHI,2013,PF,1281,544,0,544,193,771,179,176,66,28
21744,Chris Bosh,MIA,2013,C,1232,485,21,464,241,501,123,128,66,101
21745,Avery Bradley,BOS,2013,PG,461,192,40,152,37,111,104,72,64,19
21746,Elton Brand,DAL,2013,C,518,226,0,226,66,430,70,57,50,90
21747,Corey Brewer,DEN,2013,SF,990,375,91,284,149,235,124,102,118,23
21748,Ronnie Brewer,TOT,2013,SF,179,70,23,47,16,140,50,18,43,6
21749,Ronnie Brewer,NYK,2013,SF,166,64,22,42,16,100,40,14,34,6
21750,Ronnie Brewer,OKC,2013,SF,13,6,1,5,0,40,10,4,9,0
21751,Aaron Brooks,TOT,2013,PG,376,143,50,93,40,80,114,67,30,10
21752,Aaron Brooks,SAC,2013,PG,366,139,48,91,40,78,108,63,29,7
21753,Aaron Brooks,HOU,2013,PG,10,4,2,2,0,2,6,4,1,3
21754,MarShon Brooks,BRK,2013,SG,394,155,15,140,69,104,76,69,34,16
21755,Kwame Brown,PHI,2013,C,41,17,0,17,7,74,9,8,6,10
21756,Shannon Brown,PHO,2013,SG,617,240,39,201,98,149,108,74,59,15
21757,Kobe Bryant,LAL,2013,SG,2133,738,132,606,525,433,469,287,106,25
21758,Chase Budinger,MIN,2013,SF,216,79,26,53,32,71,25,23,14,7
21759,Alec Burks,UTA,2013,SG,451,163,33,130,92,145,92,74,35,13
21760,Caron Butler,LAC,2013,SF,813,305,128,177,75,223,78,72,51,11
21761,Jimmy Butler,CHI,2013,SF,705,239,40,199,187,328,115,62,78,31
21762,Will Bynum,DET,2013,PG,636,253,24,229,106,97,231,125,45,5
21763,Jose Calderon,TOT,2013,PG,826,312,130,182,72,176,518,126,58,8
21764,Jose Calderon,TOR,2013,PG,500,187,79,108,47,106,333,75,28,6
21765,Jose Calderon,DET,2013,PG,326,125,51,74,25,70,185,51,30,2
21766,Marcus Camby,NYK,2013,PF,42,17,0,17,8,80,14,15,7,14
21767,DeMarre Carroll,UTA,2013,SF,393,149,20,129,75,188,61,34,58,24
21768,Matt Carroll,CHA,2013,SG,0,0,0,0,0,0,1,0,0,0
21769,Vince Carter,DAL,2013,SF,1088,372,162,210,182,334,194,106,74,44
21770,Omri Casspi,CLE,2013,SF,173,63,25,38,22,114,28,22,25,12
21771,Mario Chalmers,MIA,2013,PG,666,227,123,104,89,171,273,119,118,12
21772,Tyson Chandler,NYK,2013,C,689,255,0,255,179,703,62,87,42,75
21773,Wilson Chandler,DEN,2013,PF,560,210,52,158,88,218,58,60,45,12
21774,Josh Childress,BRK,2013,SF,14,6,1,5,1,15,5,0,2,2
21775,Earl Clark,LAL,2013,PF,428,170,35,135,53,325,65,62,36,44
21776,Victor Claver,POR,2013,SF,187,74,25,49,14,119,43,43,26,12
21777,Norris Cole,MIA,2013,PG,445,179,35,144,52,130,164,104,57,7
21778,Jason Collins,TOT,2013,C,41,9,0,9,23,60,8,18,12,10
21779,Jason Collins,BOS,2013,C,37,8,0,8,21,52,6,16,10,6
21780,Jason Collins,WAS,2013,C,4,1,0,1,2,8,2,2,2,4
21781,Darren Collison,DAL,2013,PG,972,341,48,293,242,219,415,173,100,8
21782,Nick Collison,OKC,2013,C,412,176,0,176,60,333,121,69,51,30
21783,Mike Conley,MEM,2013,PG,1168,414,106,308,234,225,487,189,174,24
21784,Will Conroy,MIN,2013,PG,1,0,0,0,1,1,0,0,0,0
21785,Daequan Cook,TOT,2013,SG,137,51,26,25,9,61,19,15,8,7
21786,Daequan Cook,HOU,2013,SG,55,21,11,10,2,18,10,6,6,2
21787,Daequan Cook,CHI,2013,SG,82,30,15,15,7,43,9,9,2,5
21788,Chris Copeland,NYK,2013,PF,486,182,59,123,63,119,27,50,16,12
21789,DeMarcus Cousins,SAC,2013,C,1280,482,4,478,312,746,199,225,108,55
21790,Jamal Crawford,LAC,2013,SG,1255,445,149,296,216,128,193,146,79,13
21791,Jordan Crawford,TOT,2013,SG,814,301,83,218,129,209,225,141,39,7
21792,Jordan Crawford,WAS,2013,SG,568,211,59,152,87,135,157,97,27,5
21793,Jordan Crawford,BOS,2013,SG,246,90,24,66,42,74,68,44,12,2
21794,Jae Crowder,DAL,2013,SF,392,141,63,78,47,187,94,49,63,17
21795,Dante Cunningham,MIN,2013,PF,695,314,0,314,67,408,67,56,84,38
21796,Jared Cunningham,DAL,2013,SG,16,6,2,4,2,3,1,2,1,0
21797,Eddy Curry,DAL,2013,C,9,4,0,4,1,4,0,3,0,0
21798,Stephen Curry,GSW,2013,PG,1786,626,272,354,262,314,539,240,126,12
21799,Samuel Dalembert,MIL,2013,C,313,137,1,136,38,276,21,51,17,53
21800,Marquis Daniels,MIL,2013,SF,324,132,20,112,40,150,65,45,51,10
21801,Anthony Davis,NOH,2013,PF,867,349,0,349,169,522,63,89,75,112
21802,Ed Davis,TOT,2013,C-PF,623,260,0,260,103,460,63,63,38,85
21803,Ed Davis,TOR,2013,C,438,186,0,186,66,300,55,45,25,38
21804,Ed Davis,MEM,2013,PF,185,74,0,74,37,160,8,18,13,47
21805,Glen Davis,ORL,2013,PF,512,214,0,214,84,246,70,64,32,21
21806,Austin Daye,TOT,2013,SF,247,90,41,49,26,123,42,29,14,22
21807,Austin Daye,DET,2013,SF,122,43,21,22,15,63,21,13,5,8
21808,Austin Daye,MEM,2013,SF,125,47,20,27,11,60,21,16,9,14
21809,Nando De,SAS,2013,SG,276,105,31,74,35,138,138,81,41,6
21810,Carlos Delfino,HOU,2013,SF,708,251,158,93,48,220,135,72,68,9
21811,Luol Deng,CHI,2013,SF,1237,466,75,391,230,476,222,144,81,32
21812,Justin Dentmon,DAL,2013,PG,0,0,0,0,0,0,0,0,0,0
21813,DeMar DeRozan,TOR,2013,SG,1485,548,34,514,355,320,204,151,76,24
21814,Boris Diaw,SAS,2013,PF,435,179,30,149,47,254,180,84,52,27
21815,DeSagana Diop,CHA,2013,C,16,8,0,8,0,51,13,8,5,16
21816,Keyon Dooling,MEM,2013,PG,31,10,5,5,6,1,8,5,1,0
21817,Toney Douglas,TOT,2013,PG,534,188,82,106,76,138,151,81,71,3
21818,Toney Douglas,HOU,2013,PG,399,139,61,78,60,90,93,56,40,2
21819,Toney Douglas,SAC,2013,PG,135,49,21,28,16,48,58,25,31,1
21820,Chris Douglas-Roberts,DAL,2013,SG,17,5,0,5,7,5,4,1,2,0
21821,Goran Dragic,PHO,2013,PG,1134,401,88,313,244,238,569,212,124,26
21822,Andre Drummond,DET,2013,C,476,208,1,207,59,457,30,57,59,95
21823,Jared Dudley,PHO,2013,SF,861,313,106,207,129,245,203,101,75,8
21824,Chris Duhon,LAL,2013,PG,133,47,33,14,6,68,133,40,20,1
21825,Tim Duncan,SAS,2013,C,1227,490,2,488,245,686,184,147,50,183
21826,Mike Dunleavy,MIL,2013,SF,785,276,128,148,105,291,145,90,39,35
21827,Kevin Durant,OKC,2013,SF,2280,731,139,592,679,640,374,280,116,105
21828,Devin Ebanks,LAL,2013,SF,65,24,6,18,11,41,10,11,3,1
21829,Wayne Ellington,TOT,2013,SG,614,226,94,132,68,166,104,57,45,3
21830,Wayne Ellington,MEM,2013,SG,218,81,41,40,15,52,42,24,16,1
21831,Wayne Ellington,CLE,2013,SG,396,145,53,92,53,114,62,33,29,2
21832,Monta Ellis,MIL,2013,SG,1577,597,94,503,289,316,496,254,169,36
21833,Kim English,DET,2013,SG,119,42,14,28,21,37,26,19,16,3
21834,Jeremy Evans,UTA,2013,PF,75,27,0,27,21,58,11,8,8,13
21835,Reggie Evans,BRK,2013,PF,363,125,0,125,113,888,43,111,74,13
21836,Tyreke Evans,SAC,2013,SG,987,366,45,321,210,287,229,128,90,27
21837,Festus Ezeli,GSW,2013,C,191,74,0,74,43,313,22,63,23,74
21838,Kenneth Faried,DEN,2013,PF,923,380,0,380,163,734,77,113,81,83
21839,Derrick Favors,UTA,2013,PF,727,274,0,274,179,546,75,129,67,130
21840,Raymond Felton,NYK,2013,PG,948,377,93,284,101,194,372,155,94,14
21841,Landry Fields,TOR,2013,SF,240,102,2,100,34,208,60,42,32,8
21842,Derek Fisher,TOT,2013,SG-PG,175,55,30,25,35,37,47,30,19,3
21843,Derek Fisher,DAL,2013,PG,77,23,10,13,21,15,31,18,5,2
21844,Derek Fisher,OKC,2013,SG,98,32,20,12,14,22,16,12,14,1
21845,Evan Fournier,DEN,2013,SG,202,75,22,53,30,35,44,32,19,1
21846,Randy Foye,UTA,2013,SG,882,293,178,115,118,127,167,92,66,27
21847,Jimmer Fredette,SAC,2013,SG,494,172,65,107,85,71,92,68,31,3
21848,Joel Freeland,POR,2013,PF,134,58,0,58,18,119,13,19,13,11
21849,Danilo Gallinari,DEN,2013,SF,1149,364,135,229,286,367,176,111,64,36
21850,Francisco Garcia,TOT,2013,SG-SF,321,118,67,51,18,91,63,32,46,38
21851,Francisco Garcia,SAC,2013,SG,206,77,40,37,12,68,43,20,32,31
21852,Francisco Garcia,HOU,2013,SF,115,41,27,14,6,23,20,12,14,7
21853,Kevin Garnett,BOS,2013,C,1004,422,2,420,158,530,159,110,78,62
21854,Diante Garrett,PHO,2013,PG,40,16,3,13,5,15,31,16,10,0
21855,Marc Gasol,MEM,2013,C,1127,429,1,428,268,622,318,157,80,139
21856,Pau Gasol,LAL,2013,PF,673,270,8,262,125,421,200,104,24,61
21857,Rudy Gay,TOT,2013,SF,1366,521,84,437,240,461,202,198,113,53
21858,Rudy Gay,MEM,2013,SF,723,281,40,241,121,249,108,104,56,31
21859,Rudy Gay,TOR,2013,SF,643,240,44,196,119,212,94,94,57,22
21860,Alonzo Gee,CLE,2013,SF,842,305,69,236,163,320,133,132,107,29
21861,Mickael Gelabale,MIN,2013,SF,181,72,16,56,21,99,26,16,16,4
21862,Paul George,IND,2013,SF,1377,493,170,323,221,603,327,233,143,51
21863,Daniel Gibson,CLE,2013,PG,250,84,56,28,26,60,82,31,30,4
21864,Taj Gibson,CHI,2013,PF,517,214,0,214,89,345,61,76,27,90
21865,Manu Ginobili,SAS,2013,SG,705,229,83,146,164,201,274,132,80,13
21866,Drew Gooden,MIL,2013,C,52,20,1,19,11,31,6,9,5,6
21867,Ben Gordon,CHA,2013,SG,840,310,113,197,107,130,141,136,35,16
21868,Eric Gordon,NOH,2013,SG,713,235,56,179,187,77,137,117,45,8
21869,Marcin Gortat,PHO,2013,C,680,295,0,295,90,516,75,99,40,98
21870,Andrew Goudelock,LAL,2013,SG,0,0,0,0,0,1,0,0,0,0
21871,Danny Granger,IND,2013,SF,27,10,2,8,5,9,3,4,2,1
21872,Aaron Gray,TOR,2013,C,119,48,0,48,23,133,33,36,7,5
21873,Danny Green,SAS,2013,SG,838,297,177,120,67,244,141,94,92,54
21874,Draymond Green,GSW,2013,SF,227,84,14,70,45,260,53,51,42,25
21875,Gerald Green,IND,2013,SF,421,155,59,96,52,141,50,53,19,23
21876,Jeff Green,BOS,2013,PF,1036,376,70,306,214,318,128,132,56,68
21877,Willie Green,LAC,2013,SG,450,178,71,107,23,97,55,31,29,12
21878,Blake Griffin,LAC,2013,PF,1440,577,5,572,281,662,299,185,97,50
21879,Hamed Haddadi,TOT,2013,C,84,35,0,35,14,111,12,31,6,27
21880,Hamed Haddadi,MEM,2013,C,15,7,0,7,1,24,4,4,1,6
21881,Hamed Haddadi,PHO,2013,C,69,28,0,28,13,87,8,27,5,21
21882,Jordan Hamilton,DEN,2013,SF,208,84,27,57,13,95,23,19,15,8
21883,Richard Hamilton,CHI,2013,SG,490,204,16,188,66,83,119,84,24,5
21884,Ben Hansbrough,IND,2013,PG,57,15,6,9,21,18,21,18,7,2
