Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14674,Derek Hood,CHH,2000,PF,0,0,0,0,0,1,0,0,0,0
14675,Jeff Hornacek,UTA,2000,SG,953,358,66,292,171,182,202,113,66,16
14676,Robert Horry,LAL,2000,PF,436,159,29,130,89,361,118,73,84,80
14677,Allan Houston,NYK,2000,SG,1614,614,106,508,280,271,224,186,65,14
14678,Juwan Howard,WAS,2000,PF,1220,509,0,509,202,470,247,225,67,21
14679,Troy Hudson,LAC,2000,PG,545,204,60,144,77,148,242,108,43,0
14680,Larry Hughes,TOT,2000,SG,1226,459,29,430,279,349,205,195,115,28
14681,Larry Hughes,PHI,2000,SG,501,192,11,181,106,159,75,95,54,12
14682,Larry Hughes,GSW,2000,SG,725,267,18,249,173,190,130,100,61,16
14683,Rick Hughes,DAL,2000,PF,82,35,0,35,12,49,9,14,3,1
14684,Lindsey Hunter,DET,2000,PG,1043,379,168,211,117,250,327,145,129,22
14685,Allen Iverson*,PHI,2000,SG,1989,729,89,640,442,267,328,230,144,5
14686,Bobby Jackson,MIN,2000,PG,369,140,13,127,76,153,172,58,48,7
14687,Jaren Jackson,SAS,2000,SG,513,186,108,78,33,181,118,66,54,7
14688,Jermaine Jackson,DET,2000,SG,7,1,0,1,5,11,4,7,3,0
14689,Jim Jackson,ATL,2000,SF,1317,507,117,390,186,394,230,185,57,10
14690,Mark Jackson,IND,2000,PG,660,246,89,157,79,296,650,174,76,10
14691,Randell Jackson,DAL,2000,PF,0,0,0,0,0,0,0,0,0,0
14692,Sam Jacobson,TOT,2000,PG,255,108,9,99,30,71,32,33,30,3
14693,Sam Jacobson,LAL,2000,PG,10,5,0,5,0,1,2,2,1,0
14694,Sam Jacobson,GSW,2000,PG,245,103,9,94,30,70,30,31,29,3
14695,Tim James,MIA,2000,SF,11,5,0,5,1,4,2,2,0,3
14696,Antawn Jamison,GSW,2000,SF,841,356,2,354,127,359,90,113,30,15
14697,Harold Jamison,MIA,2000,PF,18,7,0,7,4,21,4,4,2,1
14698,Anthony Johnson,TOT,2000,PG,154,62,2,60,28,51,72,32,33,4
14699,Anthony Johnson,ATL,2000,PG,92,36,1,35,19,39,59,24,23,2
14700,Anthony Johnson,ORL,2000,PG,62,26,1,25,9,12,13,8,10,2
14701,Avery Johnson,SAS,2000,PG,919,402,1,401,114,158,491,140,76,18
14702,DeMarco Johnson,NYK,2000,PF,6,3,0,3,0,7,0,3,1,0
14703,Ervin Johnson,MIL,2000,C,383,144,0,144,95,648,44,80,81,127
14704,Kevin Johnson,PHO,2000,PG,40,16,1,15,7,16,24,7,2,0
14705,Larry Johnson,NYK,2000,PF,750,282,58,224,128,380,175,94,42,7
14706,Charles Jones,LAC,2000,PG,188,66,39,27,17,62,94,28,30,5
14707,Damon Jones,TOT,2000,PG,233,80,41,39,32,55,96,40,18,1
14708,Damon Jones,GSW,2000,PG,68,25,11,14,7,16,39,15,6,0
14709,Damon Jones,DAL,2000,PG,165,55,30,25,25,39,57,25,12,1
14710,Eddie Jones,CHH,2000,SG,1446,478,128,350,362,343,305,160,192,49
14711,Jumaine Jones,PHI,2000,SF,57,22,2,20,11,38,5,14,6,5
14712,Popeye Jones,DEN,2000,PF,104,44,2,42,14,103,19,13,3,6
14713,Reggie Jordan,WAS,2000,PG,41,17,0,17,7,41,32,19,12,2
14714,Adam Keefe,UTA,2000,C,135,53,0,53,29,136,34,46,17,13
14715,Shawn Kemp,CLE,2000,C,1463,484,2,482,493,725,138,291,100,96
14716,Steve Kerr,SAS,2000,PG,89,32,16,16,9,19,12,7,4,0
