,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
127,Denver Nuggets,2014-15,30,52,101.5,37.8,8,17.8,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7
128,Detroit Pistons,2014-15,32,50,98.5,37.1,8.6,15.8,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3
129,Golden State Warriors,2014-15,67,15,110,41.6,10.8,16,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8
130,Houston Rockets,2014-15,56,26,103.9,37,11.4,18.6,43.7,22.2,16.7,9.5,5,5.3,22,21.1
131,Indiana Pacers,2014-15,38,44,97.3,36.6,7.5,16.7,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4
132,Los Angeles Clippers,2014-15,56,26,106.7,39.4,10.1,17.9,42.6,24.8,12.3,7.8,5,3,21.3,21.5
133,Los Angeles Lakers,2014-15,21,61,98.5,37.2,6.5,17.5,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4
134,Memphis Grizzlies,2014-15,55,27,98.3,37.8,5.2,17.6,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3
135,Miami Heat,2014-15,37,45,94.7,35.2,6.8,17.5,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9
136,Milwaukee Bucks,2014-15,41,41,97.8,37.6,6.6,16,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1
137,Minnesota Timberwolves,2014-15,16,66,97.8,36.4,5,20,40.9,21.6,15,8.1,4,5.5,19.2,21.4
138,New Orleans Pelicans,2014-15,45,37,99.4,37.9,7.1,16.4,43.5,22,13.3,6.7,6.2,5.8,18.7,18.7
139,New York Knicks,2014-15,17,65,91.9,35.1,6.8,14.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1
140,Oklahoma City Thunder,2014-15,45,37,104,38.8,7.7,18.6,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4
141,Orlando Magic,2014-15,25,57,95.7,37.5,6.8,13.9,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9
142,Philadelphia 76ers,2014-15,18,64,92,33.7,8.4,16.1,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2
143,Phoenix Suns,2014-15,39,43,102.4,38.8,8.5,16.4,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3
144,Portland Trail Blazers,2014-15,51,31,102.8,38.7,9.8,15.5,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7
145,Sacramento Kings,2014-15,29,53,101.3,36.7,5.6,22.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9
146,San Antonio Spurs,2014-15,55,27,103.2,39.1,8.3,16.7,43.6,24.4,14,8,5.4,4.4,19.1,19.7
147,Toronto Raptors,2014-15,49,33,104,37.9,8.9,19.3,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3
148,Utah Jazz,2014-15,38,44,95.1,35.4,7.4,17,44,19.9,15.3,7.6,6,4.7,19.3,19.6
149,Washington Wizards,2014-15,46,36,98.5,38.3,6.1,15.9,44.7,24,15,7.3,4.6,4.3,20.8,19.6
150,Atlanta Hawks,2013-14,38,44,101,37.3,9.4,17,40,24.9,15.3,8.3,4,4.3,19.2,20
151,Boston Celtics,2013-14,25,57,96.2,36.5,7,16.2,42.5,21,15.4,7.1,4.2,4.5,21.3,19.1
152,Brooklyn Nets,2013-14,44,38,98.5,35.7,8.6,18.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8
153,Charlotte Bobcats,2013-14,43,39,96.9,36.3,6.3,18,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9
154,Chicago Bulls,2013-14,48,34,93.7,34.7,6.2,18.1,44.1,22.7,14.9,7.2,5.2,6,19.1,20.9
155,Cleveland Cavaliers,2013-14,33,49,98.2,37,7.1,17,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5
156,Dallas Mavericks,2013-14,49,33,104.8,39.6,8.8,16.8,40.9,23.6,13.5,8.6,4.3,3.5,20,19.9
157,Denver Nuggets,2013-14,36,46,104.4,38.4,8.6,19.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7
158,Detroit Pistons,2013-14,29,53,101,38.8,6.2,17.3,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7
159,Golden State Warriors,2013-14,51,31,104.3,39.5,9.4,15.9,45.3,23.3,15.2,7.8,5,4.2,21.8,19.3
160,Houston Rockets,2013-14,54,28,107.7,38,9.5,22.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3
161,Indiana Pacers,2013-14,56,26,96.7,36,6.7,18.1,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9
162,Los Angeles Clippers,2013-14,57,25,107.9,39.1,8.5,21.2,43,24.6,13.9,8.6,4.8,3.5,21.5,23.4
163,Los Angeles Lakers,2013-14,27,55,103,38.3,9.4,17,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3
164,Memphis Grizzlies,2013-14,50,32,96.1,38.1,4.9,15.1,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9
165,Miami Heat,2013-14,54,28,102.2,38.3,8.1,17.5,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4
166,Milwaukee Bucks,2013-14,15,67,95.5,36,6.7,16.8,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6
167,Minnesota Timberwolves,2013-14,40,42,106.9,38.9,7.3,21.8,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6
168,New Orleans Pelicans,2013-14,34,48,99.7,37.8,5.9,18.2,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3
169,New York Knicks,2013-14,37,45,98.6,36.9,9.3,15.5,40.3,20,13,7.7,4.5,3.4,22.1,19.6
170,Oklahoma City Thunder,2013-14,59,23,106.2,39,8.1,20.2,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4
171,Orlando Magic,2013-14,23,59,96.5,36.9,6.9,15.9,42,21,14.9,7.7,4.3,5.4,20.5,18.3
172,Philadelphia 76ers,2013-14,19,63,99.5,37.9,7,16.6,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6
173,Phoenix Suns,2013-14,48,34,105.2,38.7,9.3,18.5,43,19.1,15.3,8.4,4.6,4,21.9,21.3
174,Portland Trail Blazers,2013-14,54,28,106.7,39.1,9.4,19.1,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7
175,Sacramento Kings,2013-14,28,54,100.5,36.9,6,20.7,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1
176,San Antonio Spurs,2013-14,62,20,105.4,40.6,8.5,15.7,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3
177,Toronto Raptors,2013-14,48,34,101.3,36.5,8.7,19.6,42.5,21.2,14.1,7,4.2,4.3,23,22.1
178,Utah Jazz,2013-14,25,57,95,36,6.6,16.4,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4
179,Washington Wizards,2013-14,44,38,100.7,38.7,7.9,15.3,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5
180,Atlanta Hawks,2012-13,44,38,98,37.6,8.6,14.1,40.9,24.5,14.9,8.1,4.5,4.3,18,18.8
181,Boston Celtics,2012-13,41,40,96.5,37,6.1,16.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4
182,Brooklyn Nets,2012-13,49,33,96.9,35.9,7.7,17.5,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4
183,Charlotte Bobcats,2012-13,21,61,93.4,34.4,5.7,18.9,40.3,19.4,14.1,7.2,5.8,6.9,19,21.3
184,Chicago Bulls,2012-13,45,37,93.2,35.7,5.4,16.4,43.2,23,14.3,7.2,5.1,5.8,19.7,19.6
185,Cleveland Cavaliers,2012-13,24,58,96.5,36.5,6.7,16.8,41,20.7,14,7.9,4.1,6.8,21.2,19.7
186,Dallas Mavericks,2012-13,41,41,101.1,38.8,7.4,16.1,41.9,23.2,14,7.9,5.5,4.1,20.7,18.9
187,Denver Nuggets,2012-13,57,25,106.1,40.7,6.4,18.4,45,24.4,15.3,9.3,6.5,6.8,20.5,21.6
188,Detroit Pistons,2012-13,29,53,94.9,36.3,6.3,15.9,42.1,21.2,15.1,7,4.9,5.8,19.8,19.9
189,Golden State Warriors,2012-13,47,35,101.2,38.2,8,16.8,45,22.5,15.1,6.9,4.2,4.9,21.4,19.2
190,Houston Rockets,2012-13,45,37,106,38.1,10.6,19.2,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4
191,Indiana Pacers,2012-13,49,32,94.7,35.1,6.9,17.6,45.9,20.3,15.1,7.2,6.3,5.7,20,21.9
192,Los Angeles Clippers,2012-13,56,26,101.1,38.5,7.6,16.4,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9
193,Los Angeles Lakers,2012-13,45,37,102.2,37.1,8.7,19.3,44.8,22.2,15,7,5.2,4.8,17.9,23.1
194,Memphis Grizzlies,2012-13,56,26,93.4,36.1,4.7,16.5,42.7,20.9,14,8.6,5.3,5.5,20.2,20
195,Miami Heat,2012-13,66,16,102.9,38.4,8.7,17.4,38.6,23,13.9,8.7,5.4,3.2,18.7,20.4
196,Milwaukee Bucks,2012-13,38,44,98.9,38.1,7.3,15.3,44,22.9,14.1,8.4,6.7,4.4,19,19.1
197,Minnesota Timberwolves,2012-13,31,51,95.7,35.9,5.5,18.5,42,22.4,14.8,8.5,4.7,5.9,18.4,22.5
198,New Orleans Hornets,2012-13,27,55,94.1,36,6.5,15.5,41.6,21,14.5,6.3,5.4,6,20.4,18.7
199,New York Knicks,2012-13,54,28,100,36.5,10.9,16,40.6,19.3,12,8.2,3.6,4,20.1,19.2
200,Oklahoma City Thunder,2012-13,60,22,105.7,38.1,7.3,22.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7
201,Orlando Magic,2012-13,20,62,94.1,37.7,6.2,12.5,42.7,22.8,14.5,6.4,4.4,5.2,19.4,16.5
202,Philadelphia 76ers,2012-13,34,48,93.2,37.3,6.3,12.2,41.3,22.8,13,7.4,4.7,4.8,18.4,16.2
203,Phoenix Suns,2012-13,25,57,95.2,37.3,5.9,14.7,41.6,22.6,15.6,8,5.3,5.1,20.6,18.4
204,Portland Trail Blazers,2012-13,33,49,97.5,36.7,8.2,15.9,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7
205,Sacramento Kings,2012-13,28,54,100.2,37.6,7.4,17.5,40.6,20.8,14.6,8.2,4.2,6.3,20.9,20
206,San Antonio Spurs,2012-13,58,24,103,39.1,8.1,16.6,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1
207,Toronto Raptors,2012-13,34,48,97.2,36.3,7,17.6,40.2,21.5,13.7,7.3,4.8,4.7,22.4,20.1
